year,country.eci,ECI,eci.plus,continent,iso_3c
1967,Germany,2.28536,1.88399,eu,DEU
1967,Denmark,1.31177,1.28752,eu,DNK
1967,Spain,0.643186,0.772989,eu,ESP
1967,Finland,1.32294,1.3008,eu,FIN
1967,France,1.7497,1.58954,eu,FRA
1967,United Kingdom,2.03884,1.71521,eu,GBR
1967,Greece,0.133309,0.296413,eu,GRC
1967,Hungary,1.20968,1.13026,eu,HUN
1967,Ireland,1.06419,0.942722,eu,IRL
1967,Italy,1.86891,1.58013,eu,ITA
1967,Netherlands,1.33455,1.46163,eu,NLD
1967,Norway,1.41304,1.18989,eu,NOR
1967,Poland,0.995543,1.1310500000000001,eu,POL
1967,Portugal,0.909755,0.709832,eu,PRT
1967,Romania,0.404673,0.616643,eu,ROU
1967,Sweden,2.06452,1.67384,eu,SWE
1967,Canada,0.75826,1.30401,na,CAN
1967,Costa Rica,0.687943,0.554747,na,CRI
1967,Dominican Republic,-0.73996,-0.763962,na,DOM
1967,Guatemala,0.178804,0.3452,na,GTM
1967,Honduras,-0.333715,-0.472676,na,HND
1967,Jamaica,-0.456648,-0.811957,na,JAM
1967,Mexico,0.031729,0.360813,na,MEX
1967,Nicaragua,0.02291,-0.329899,na,NIC
1967,Panama,0.702627,0.639843,na,PAN
1967,El Salvador,0.443734,0.433336,na,SLV
1967,Trinidad and Tobago,-0.183314,-0.346799,na,TTO
1967,United States,1.75501,1.6402,na,USA
1967,Australia,0.183548,0.80173,oc,AUS
1967,New Zealand,0.23008,0.434364,oc,NZL
1967,Argentina,-0.281353,0.248889,sa,ARG
1967,Bolivia,-0.841633,-1.54796,sa,BOL
1967,Brazil,-0.849452,0.099519,sa,BRA
1967,Chile,-0.025874,0.1835,sa,CHL
1967,Colombia,-0.020913,0.223545,sa,COL
1967,Ecuador,-0.782771,-1.24278,sa,ECU
1967,Peru,-0.593102,-0.753489,sa,PER
1967,Paraguay,-0.493552,-0.817882,sa,PRY
1967,Uruguay,0.278787,0.464505,sa,URY
1967,Venezuela,-0.290236,-0.475082,sa,VEN
1968,Angola,-1.23318,-1.2251,af,AGO
1968,Cote d'Ivoire,-1.00629,-0.949848,af,CIV
1968,Cameroon,-0.758248,-0.641174,af,CMR
1968,Republic of the Congo,-0.857768,-1.01513,af,COG
1968,Algeria,-0.469397,-0.210311,af,DZA
1968,Egypt,-0.152495,0.183211,af,EGY
1968,Ethiopia,-0.932435,-0.846185,af,ETH
1968,Gabon,-1.24293,-1.78923,af,GAB
1968,Ghana,-0.773767,-1.30566,af,GHA
1968,Guinea,-1.09043,-1.59665,af,GIN
1968,Kenya,-0.731571,-0.427044,af,KEN
1968,Morocco,-0.387013,-0.321881,af,MAR
1968,Madagascar,-1.0524,-1.08543,af,MDG
1968,Mozambique,-0.869069,-0.683489,af,MOZ
1968,Mauritania,-1.01189,-1.50202,af,MRT
1968,Nigeria,-1.43376,-1.26361,af,NGA
1968,Sudan,-1.18166,-1.39137,af,SDN
1968,Senegal,-0.377609,-0.976122,af,SEN
1968,Togo,-1.01094,-1.59937,af,TGO
1968,Tunisia,-0.239807,-0.204233,af,TUN
1968,Tanzania,-1.23856,-1.31107,af,TZA
1968,South Africa,-0.383453,0.393898,af,ZAF
1968,Zambia,-0.792187,-0.89432,af,ZMB
1968,Zimbabwe,0.922071,0.866357,af,ZWE
1968,United Arab Emirates,1.02527,-0.167652,as,ARE
1968,China,0.564777,0.615741,as,CHN
1968,Hong Kong,1.28635,1.18901,as,HKG
1968,Indonesia,-1.10962,-0.819552,as,IDN
1968,India,-0.069321,0.311969,as,IND
1968,Iran,-0.823465,-0.585222,as,IRN
1968,Israel,0.627411,0.720425,as,ISR
1968,Jordan,0.495193,0.16513,as,JOR
1968,Japan,1.92797,1.72572,as,JPN
1968,Cambodia,-0.870425,-0.964178,as,KHM
1968,South Korea,0.708068,0.531692,as,KOR
1968,Kuwait,-1.10223,-0.218437,as,KWT
1968,Laos,-0.815614,-1.67041,as,LAO
1968,Lebanon,0.490028,0.643007,as,LBN
1968,Sri Lanka,-1.11778,-1.00534,as,LKA
1968,Burma,-1.06872,-1.3326,as,MMR
1968,Malaysia,-0.439566,-0.196894,as,MYS
1968,Oman,-1.33728,-0.728921,as,OMN
1968,Pakistan,-0.367673,-0.01359,as,PAK
1968,Philippines,-0.479011,-0.652627,as,PHL
1968,Qatar,-1.61823,-0.638053,as,QAT
1968,Saudi Arabia,-0.943115,-1.10052,as,SAU
1968,Singapore,0.256625,0.454822,as,SGP
1968,Syria,-0.255758,-0.383836,as,SYR
1968,Thailand,-0.870876,-0.74167400000000006,as,THA
1968,Turkey,-0.864073,-0.504801,as,TUR
1968,Vietnam,-0.015737,0.249722,as,VNM
1968,Albania,0.056063,0.062879,eu,ALB
1968,Austria,1.98078,1.67812,eu,AUT
1968,Belgium,1.53657,1.53236,eu,BEL
1968,Bulgaria,0.486855,0.630039,eu,BGR
1968,Switzerland,2.1625,1.81415,eu,CHE
1968,Germany,2.29043,1.88355,eu,DEU
1968,Denmark,1.30555,1.31643,eu,DNK
1968,Spain,0.602475,0.832251,eu,ESP
1968,Finland,1.38039,1.36292,eu,FIN
1968,France,1.75071,1.57033,eu,FRA
1968,United Kingdom,2.0158,1.73184,eu,GBR
1968,Greece,0.172181,0.344752,eu,GRC
1968,Hungary,1.10248,1.01307,eu,HUN
1968,Ireland,0.948167,0.966775,eu,IRL
1968,Italy,1.81562,1.58818,eu,ITA
1968,Netherlands,1.30488,1.44772,eu,NLD
1968,Norway,1.38974,1.22185,eu,NOR
1968,Poland,0.882682,1.08708,eu,POL
1968,Portugal,0.895702,0.751835,eu,PRT
1968,Romania,0.464902,0.646769,eu,ROU
1968,Sweden,2.05498,1.68182,eu,SWE
1968,Canada,0.803205,1.36086,na,CAN
1968,Costa Rica,0.659682,0.533373,na,CRI
1968,Dominican Republic,-0.826126,-0.959701,na,DOM
1968,Guatemala,0.205069,0.371455,na,GTM
1968,Honduras,-0.197737,-0.353839,na,HND
1968,Jamaica,-0.343456,-0.797672,na,JAM
1968,Mexico,0.036176,0.419062,na,MEX
1968,Nicaragua,0.080425,-0.074035,na,NIC
1968,Panama,0.900246,0.685796,na,PAN
1968,El Salvador,0.579651,0.548503,na,SLV
1968,Trinidad and Tobago,0.019173,-0.096638,na,TTO
1968,United States,1.80736,1.66014,na,USA
1968,Australia,0.268314,0.79176,oc,AUS
1968,New Zealand,0.116224,0.48963,oc,NZL
1968,Argentina,-0.2747,0.29763,sa,ARG
1968,Bolivia,-0.876756,-1.68099,sa,BOL
1968,Brazil,-0.702449,0.149042,sa,BRA
1968,Chile,-0.20273,0.122806,sa,CHL
1968,Colombia,-0.168593,0.165698,sa,COL
1968,Ecuador,-0.891331,-1.20624,sa,ECU
1968,Peru,-0.697814,-0.817121,sa,PER
